index,name,place_id,rating,rating_count,tags,address,price_level
927,Summer Shack,ChIJNRQDqRp644kRosjO3l5sa4U,4.3,1750,"('bar', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment')","50 Dalton St, Boston",2
928,Oleana,ChIJr3IT1LJw44kRT5T9CYsihK4,4.7,1681,"('restaurant', 'point_of_interest', 'food', 'establishment')","134 Hampshire St, Cambridge",3
929,Bon Me,ChIJ1wUN0IN544kRSYxrcRHKyxI,4.3,109,"('cafe', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment')","431 Brookline Ave, Boston",1
930,SAVR,ChIJ8_xs2Ddx44kR4lquMfD6Xk8,4.4,123,"('restaurant', 'food', 'point_of_interest', 'establishment')","150 Seaport Blvd, Boston",2
931,Pavement Coffeehouse - Symphony,ChIJu2_GIBt644kR0ZBHXoYtwEM,4.3,391,"('cafe', 'bakery', 'meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment')","44 Gainsborough St, Boston",1
932,The Merchant Kitchen & Drinks,ChIJHT_dpINw44kRJHjZbHPZFVE,4.2,838,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","60 Franklin St, Boston",2
933,Milkweed,ChIJ7_IuXYh544kR0n4Ts_iD9oQ,4.5,1383,"('cafe', 'restaurant', 'point_of_interest', 'food', 'establishment')","1508 Tremont St, Boston",2
934,Futago Udon,ChIJsXnAniB544kR43kTP2r7tWA,4.4,439,"('restaurant', 'food', 'point_of_interest', 'establishment')","508-512 Park Dr, Boston",2
935,Tenderoni's Fenway,ChIJMYWnznx544kRUB9jBmpKfLc,4.0,98,"('restaurant', 'food', 'point_of_interest', 'establishment')","1363 Boylston St, Boston",2
936,Peregrine,ChIJiRGxDL1x44kRiT3o8eV6u5I,4.3,170,"('restaurant', 'point_of_interest', 'food', 'establishment')","170 Charles St, Boston",2
937,Royal East,ChIJsSgYUqtw44kRhjJ4w-iRuO4,3.9,296,"('meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment')","782 Main St, Cambridge",2
938,Crispy Crepes Cafe,ChIJl1IyCfF544kRX2Sp1p-Hn9U,4.6,214,"('restaurant', 'food', 'point_of_interest', 'store', 'establishment')","714 Commonwealth Ave, Boston",Unknown
939,Ms. Clucks Deluxe Chicken & Dumplings,ChIJRQTIacB544kR8vYBQIhcr-Q,3.4,43,"('restaurant', 'food', 'point_of_interest', 'establishment')","401 Park Dr, Boston",2
940,Nautilus Pier 4,ChIJ7wp4Cv1x44kRLa-eA-GQ0qM,4.4,301,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","300 Pier 4 Blvd., Boston",Unknown
941,Subway,ChIJf390MiJ644kRVbqe5VSHRtU,3.6,63,"('meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment')","Ryder hall, Leon St, Boston",1
942,Himalayan Kitchen,ChIJZc7-yDR344kR-54AebqINeA,4.7,1132,"('restaurant', 'point_of_interest', 'food', 'establishment')","40 Bow St, Somerville",1
943,Scampo,ChIJhyCyU5hw44kRnKf5ZwS6M8E,4.4,607,"('restaurant', 'point_of_interest', 'food', 'establishment')","215 Charles St, Boston",3
944,Mex Taqueria & Bar,ChIJ8UGaEvBx44kRC-3QxGecX_g,3.9,255,"('restaurant', 'food', 'point_of_interest', 'establishment')","500 Technology Square, Cambridge",2
945,Scholars American Bistro and Cocktail Lounge,ChIJ7wpOhIRw44kRMKP7lWg_EDw,4.0,899,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","25 School St, Boston",2
946,Naco Taco,ChIJI70BxlR344kR7eVSuu82vlc,4.2,1631,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","297 Massachusetts Ave, Cambridge",2
947,Mediterranean Grill Boston,ChIJS8iO2YZw44kRwcgdhLDNOMo,4.2,74,"('meal_delivery', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment')","281 Franklin St, Boston",2
948,Thornton's Boston Breakfast & Lunch Restaurant,ChIJT0OMsBF644kRomYY5k079UM,4.3,1081,"('restaurant', 'food', 'point_of_interest', 'establishment')","150 Huntington Ave #02115, Boston",1
949,Cantina Italiana,ChIJMx_bcYlw44kRpCQWPuurowA,4.4,1222,"('bar', 'restaurant', 'point_of_interest', 'food', 'establishment')","346 Hanover St, Boston",2
950,Mecha Noodle Bar,ChIJM_iv2ctx44kR_4vv4dcNeI8,4.3,246,"('restaurant', 'food', 'point_of_interest', 'establishment')","44 Thomson Pl, Boston",2
951,Scampo,ChIJhyCyU5hw44kRnKf5ZwS6M8E,4.4,607,"('restaurant', 'food', 'point_of_interest', 'establishment')","215 Charles St, Boston",3
952,Poké Garden Brookline,ChIJ28laLmN544kR8mvhZRp3GRU,4.2,164,"('meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment')","6 Harvard St, Brookline",1
953,The Paramount,ChIJpXQ2-55w44kRPOc6V9xvzec,4.3,1789,"('restaurant', 'food', 'point_of_interest', 'establishment')","44 Charles St, Boston",2
954,Moonshine 152,ChIJYfjuu2R644kRH48V02BFxn0,4.7,765,"('restaurant', 'food', 'bar', 'point_of_interest', 'establishment')","152 Dorchester Ave, Boston",2
955,Man-O-Salwa Kabob & Grill,ChIJfzg_njN344kRmkHkcEIlkyk,4.2,454,"('restaurant', 'food', 'point_of_interest', 'establishment')","66 Summer St, Somerville",1
956,Pressed Cafe,ChIJUTJWWZN744kRI8vp6rBOVSE,4.5,534,"('restaurant', 'cafe', 'bar', 'store', 'food', 'point_of_interest', 'establishment')","105 Huntington Ave, Boston",Unknown
957,La Morra,ChIJWdCE-ph544kRVuz0--BaOKM,4.5,378,"('restaurant', 'point_of_interest', 'food', 'establishment')","48 Boylston St, Brookline",3
958,Back Deck,ChIJe1weMZ1w44kRwqZm1U1clNc,4.1,1321,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","2 West St, Boston",2
