name,rating,price_level,rating_count,tags,address
James Hook & Co,4.5,2,3363.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","440 Atlantic Ave, Boston"
Busy Bee Restaurant & Diner,4.5,1,523.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","1046 Beacon St, Brookline"
El Jefe's Taqueria - Boston University,4.5,1,309.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","957 Commonwealth Ave, Boston"
Brothers & Sisters Co.,4.5,1,391.0,"('cafe', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment')","7 Station St, Brookline"
Tavern at the End of the World,4.5,1,818.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","108 Cambridge St, Charlestown"
Moona,4.5,3,575.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","243 Hampshire St, Cambridge"
Lucca Back Bay,4.5,2,359.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","116 Huntington Ave, Boston"
Bar 'Cino Brookline,4.5,2,412.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","1032 Beacon St, Brookline"
Myers+Chang,4.5,2,1648.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","1145 Washington St, Boston"
MIDA,4.5,Unknown,84.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","Waterfront Retail, 65 Lewis St, Boston"
Filippo Ristorante & Bar,4.5,2,899.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","283 Causeway St, Boston"
Martsa On Elm,4.5,2,546.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","243 Elm St, Somerville"
Eddie V's Prime Seafood,4.5,4,586.0,"('night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","122 Belvidere St, Boston"
Prairie Fire,4.5,2,489.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","242 Harvard St, Brookline"
Sol Azteca,4.5,2,394.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","914A Beacon St, Boston"
Toscano,4.5,3,662.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","47 Charles St, Boston"
MIDA,4.5,2,934.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","782 Tremont St, Boston"
Foundation Room Boston,4.5,1,66.0,"('night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","House of Blues, 15 Lansdowne St, Boston"
Tony & Elaine's,4.5,2,370.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","111 N Washington St, Boston"
Boston Burger Company - Boylston St.,4.5,2,3022.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","1100 Boylston St, Boston"
CAVA,4.5,1,652.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","1346 Boylston St, Boston"
Sapporo Ramen,4.5,2,174.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","238 Washington St, Brookline"
The Capital Burger,4.5,2,717.0,"('bar', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment')","159 Newbury St, Boston"
anoush'ella,4.5,2,716.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","35 W Newton St, Boston"
Mamacita Mexican Comida,4.5,1,208.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","329 Huntington Ave, Boston"
Grotto,4.5,3,717.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","37 Bowdoin St, Boston"
Arya Trattoria,4.5,3,358.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","253 Hanover St # 2, Boston"
Piccolo Nido,4.5,2,171.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","257 North St, Boston"
The Q,4.5,2,2515.0,"('night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","660 Washington St, Boston"
Across The Border Tex-Mex and Vegan and Veggetarian option Restaurant and Food truck,4.5,2,82.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","378 Centre St, Jamaica Plain"
Cha Kung Fong & X.F Fried Chicken ChinaTown,4.5,2,103.0,"('cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment')","197 Harrison Ave, Boston"
Life Alive Organic Cafe Brookline,4.5,1,476.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","888 Commonwealth Ave, Boston"
El Oriental De Cuba,4.5,2,1498.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","416 Centre St, Jamaica Plain"
Zo Greek,4.5,1,715.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","355 Revolution Dr, Somerville"
Blue Ribbon Sushi,4.5,Unknown,180.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","500a Commonwealth Ave, Boston"
The Brookline Pizza Spa,4.5,1,479.0,"('store', 'restaurant', 'point_of_interest', 'food', 'establishment')","75 Harvard St, Brookline"
Mystique Asian Restaurant & Lounge,4.5,Unknown,694.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","1 Broadway, Everett"
Rina's Pizzeria & Cafe,4.5,1,560.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","371 Hanover St, Boston"
Yankee Lobster,4.5,2,3722.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","300 Northern Ave, Boston"
Fool's Errand,4.5,4,80.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","1377 Boylston St, Boston"
Cambridge Pizzeria,4.5,1,174.0,"('meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment')","263, 4517, Brookline St, Cambridge"
Shabu Zen,4.5,2,922.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","16 Tyler St, Boston"
CAVA,4.5,1,96.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","125 Summer Street, Boston"
